file,shape,vowel,F1,F2,F3,frame,syllable,stress
deasach,CVCax,i,336.1454494,1780.18123,2844.947009,2,1,0
deasach,CVCax,ə,426.4690808,1006.983716,2923.304633,2,2,1
diseach,CVCax,i,355.1025376,1644.020473,2740.300688,1,1,0
diseach,CVCax,ə,530.4476101,1263.724342,2535.350878,1,2,1
diseach,CVCax,i,354.3197907,1782.091434,2907.243345,2,1,0
diseach,CVCax,ə,512.8786109,1408.020614,2625.16908,2,2,1
doseach-2,CVCax,o,505.4558198,1514.138909,2837.565092,1,1,0
doseach-2,CVCax,ə,578.4300585,1579.70264,2788.445716,1,2,1
doseach-2,CVCax,o,491.6876558,1487.963451,2787.83324,2,1,0
doseach-2,CVCax,ə,446.6182461,1252.034172,2420.346926,2,2,1
doseach,CVCax,o,520.9784509,1432.161945,2562.373487,1,1,0
doseach,CVCax,ə,403.7134506,1102.111711,2400.535025,1,2,1
doseach,CVCax,o,446.8851545,1345.811156,2574.925728,2,1,0
doseach,CVCax,ə,486.1575131,1440.302198,2813.661191,2,2,1
faasach-2,CvːCax,a:,693.5619268,1627.436634,2636.918186,1,1,1
faasach-2,CvːCax,ə,566.5897009,1348.392518,2417.510858,1,2,0
faasach-2,CvːCax,a:,584.2992931,1345.129043,2421.771379,2,1,1
faasach-2,CvːCax,ə,367.8570412,923.2177425,3165.670358,2,2,0
faasach-3,CvːCax,a:,513.2131663,1128.012037,2509.149078,1,1,1
faasach-3,CvːCax,ə,647.0140275,1679.17845,3127.507233,1,2,0
faasach-3,CvːCax,a:,528.6940497,1232.05203,2559.499646,2,1,1
faasach-3,CvːCax,ə,463.9240318,1125.41765,2677.24746,2,2,0
faasach,CvːCax,a:,618.6895603,1279.725274,2483.849834,1,1,1
faasach,CvːCax,ə,507.9096407,960.3904617,3027.879798,1,2,0
faasach,CvːCax,a:,551.2763885,1354.292908,2458.909716,2,1,1
faasach,CvːCax,ə,524.9548329,1291.558118,2997.048729,2,2,0
fachtach-2,CaxCax,a,692.8424249,1480.996903,2694.936219,1,1,1
fachtach-2,CaxCax,ə,553.1854322,1376.975897,2353.558034,1,2,0
fachtach-2,CaxCax,a,683.9307532,1509.237537,2822.869761,2,1,1
fachtach-2,CaxCax,ə,462.6598987,1225.433641,2483.52466,2,2,0
fachtach-3,CaxCax,a,576.5653123,1297.556802,2954.710584,1,1,1
fachtach-3,CaxCax,ə,518.6248642,861.6312238,2095.918146,1,2,0
fachtach-3,CaxCax,a,716.1348248,1437.613329,2789.366067,2,1,1
fachtach-3,CaxCax,ə,583.2003352,1309.013276,2727.055459,2,2,0
fachtach,CaxCax,a,610.1497349,1286.312058,2651.854155,1,1,1
fachtach,CaxCax,ə,569.3194481,1565.744749,2841.846802,1,2,0
fachtach,CaxCax,a,556.5033933,1309.696571,2495.202601,2,1,1
fachtach,CaxCax,ə,522.5858604,1175.521421,2430.806411,2,2,0
fatach-2,CVCax,a,607.7422605,1475.863341,2672.339002,1,1,0
fatach-2,CVCax,ə,631.5007977,1789.798994,2844.357051,1,2,1
fatach-2,CVCax,a,582.9603716,1569.312723,2897.10404,2,1,0
